"{-0.05, 0.00001, 0, 0}","{-0.05, 0.000013413764885, 0, 0}","{-0.05, 0.000017992908839, 0, 0}","{-0.05, 0.0000241352648763, 0, 0}","{-0.05, 0.0000323744768487, 0, 0}","{-0.05, 0.0000434263620723, 0, 0}","{-0.05, 0.0000582511010648, 0, 0}","{-0.05, 0.0000781366573974, 0, 0}","{-0.05, 0.0001048106751227, 0, 0}","{-0.05, 0.0001405905753532, 0, 0}","{-0.05, 0.0001885848922832, 0, 0}","{-0.05, 0.0002529633405947, 0, 0}","{-0.05, 0.0003393190775256, 0, 0}","{-0.05, 0.0004551546326917, 0, 0}","{-0.05, 0.0006105337229237, 0, 0}","{-0.05, 0.0008189555813651, 0, 0}","{-0.05, 0.0010985277619675, 0, 0}","{-0.05, 0.0014735393118657, 0, 0}","{-0.05, 0.0019765709878144, 0, 0}","{-0.05, 0.0026513258509018, 0, 0}","{-0.05, 0.003556426159747, 0, 0}","{-0.05, 0.0047705064337644, 0, 0}","{-0.05, 0.0063990451684807, 0, 0}","{-0.05, 0.0085835287378376, 0, 2.8537478906056586*^-9}","{-0.05, 0.0115137436372836, 0, 7.039157412070945*^-6}","{-0.05, 0.0154442650096474, 0, 0.0006030202498636952}","{-0.05, 0.0207165739660756, 0, 0.007899489746400909}","{-0.05, 0.0277887252403267, 0, 0.035986339681900084}","{-0.05, 0.0372751426827093, 0, 0.08989912360196442}","{-0.05, 0.05, 0, 0.15865525393146251}"
"{-0.0372751426827093, 0.00001, 0, 0}","{-0.0372751426827093, 0.000013413764885, 0, 0}","{-0.0372751426827093, 0.000017992908839, 0, 0}","{-0.0372751426827093, 0.0000241352648763, 0, 0}","{-0.0372751426827093, 0.0000323744768487, 0, 0}","{-0.0372751426827093, 0.0000434263620723, 0, 0}","{-0.0372751426827093, 0.0000582511010648, 0, 0}","{-0.0372751426827093, 0.0000781366573974, 0, 0}","{-0.0372751426827093, 0.0001048106751227, 0, 0}","{-0.0372751426827093, 0.0001405905753532, 0, 0}","{-0.0372751426827093, 0.0001885848922832, 0, 0}","{-0.0372751426827093, 0.0002529633405947, 0, 0}","{-0.0372751426827093, 0.0003393190775256, 0, 0}","{-0.0372751426827093, 0.0004551546326917, 0, 0}","{-0.0372751426827093, 0.0006105337229237, 0, 0}","{-0.0372751426827093, 0.0008189555813651, 0, 0}","{-0.0372751426827093, 0.0010985277619675, 0, 0}","{-0.0372751426827093, 0.0014735393118657, 0, 0}","{-0.0372751426827093, 0.0019765709878144, 0, 0}","{-0.0372751426827093, 0.0026513258509018, 0, 0}","{-0.0372751426827093, 0.003556426159747, 0, 0}","{-0.0372751426827093, 0.0047705064337644, 0, 0}","{-0.0372751426827093, 0.0063990451684807, 0, 2.853747890606532*^-9}","{-0.0372751426827093, 0.0085835287378376, 0, 7.039157412070094*^-6}","{-0.0372751426827093, 0.0115137436372836, 0, 0.0006030202498636775}","{-0.0372751426827093, 0.0154442650096474, 0, 0.007899489746400985}","{-0.0372751426827093, 0.0207165739660756, 0, 0.03598633968189964}","{-0.0372751426827093, 0.0277887252403267, 0, 0.08989912360196413}","{-0.0372751426827093, 0.0372751426827093, 0, 0.1586552539314625}","{-0.0372751426827093, 0.05, 0, 0.22798389333600225}"
"{-0.0277887252403267, 0.00001, 0, 0}","{-0.0277887252403267, 0.000013413764885, 0, 0}","{-0.0277887252403267, 0.000017992908839, 0, 0}","{-0.0277887252403267, 0.0000241352648763, 0, 0}","{-0.0277887252403267, 0.0000323744768487, 0, 0}","{-0.0277887252403267, 0.0000434263620723, 0, 0}","{-0.0277887252403267, 0.0000582511010648, 0, 0}","{-0.0277887252403267, 0.0000781366573974, 0, 0}","{-0.0277887252403267, 0.0001048106751227, 0, 0}","{-0.0277887252403267, 0.0001405905753532, 0, 0}","{-0.0277887252403267, 0.0001885848922832, 0, 0}","{-0.0277887252403267, 0.0002529633405947, 0, 0}","{-0.0277887252403267, 0.0003393190775256, 0, 0}","{-0.0277887252403267, 0.0004551546326917, 0, 0}","{-0.0277887252403267, 0.0006105337229237, 0, 0}","{-0.0277887252403267, 0.0008189555813651, 0, 0}","{-0.0277887252403267, 0.0010985277619675, 0, 0}","{-0.0277887252403267, 0.0014735393118657, 0, 0}","{-0.0277887252403267, 0.0019765709878144, 0, 0}","{-0.0277887252403267, 0.0026513258509018, 0, 0}","{-0.0277887252403267, 0.003556426159747, 0, 0}","{-0.0277887252403267, 0.0047705064337644, 0, 2.853747890606806*^-9}","{-0.0277887252403267, 0.0063990451684807, 0, 7.0391574120715*^-6}","{-0.0277887252403267, 0.0085835287378376, 0, 0.0006030202498636451}","{-0.0277887252403267, 0.0115137436372836, 0, 0.007899489746400916}","{-0.0277887252403267, 0.0154442650096474, 0, 0.03598633968190004}","{-0.0277887252403267, 0.0207165739660756, 0, 0.08989912360196373}","{-0.0277887252403267, 0.0277887252403267, 0, 0.15865525393146254}","{-0.0277887252403267, 0.0372751426827093, 0, 0.22798389333600252}","{-0.0277887252403267, 0.05, 0, 0.2891825082454267}"
"{-0.0207165739660756, 0.00001, 0, 0}","{-0.0207165739660756, 0.000013413764885, 0, 0}","{-0.0207165739660756, 0.000017992908839, 0, 0}","{-0.0207165739660756, 0.0000241352648763, 0, 0}","{-0.0207165739660756, 0.0000323744768487, 0, 0}","{-0.0207165739660756, 0.0000434263620723, 0, 0}","{-0.0207165739660756, 0.0000582511010648, 0, 0}","{-0.0207165739660756, 0.0000781366573974, 0, 0}","{-0.0207165739660756, 0.0001048106751227, 0, 0}","{-0.0207165739660756, 0.0001405905753532, 0, 0}","{-0.0207165739660756, 0.0001885848922832, 0, 0}","{-0.0207165739660756, 0.0002529633405947, 0, 0}","{-0.0207165739660756, 0.0003393190775256, 0, 0}","{-0.0207165739660756, 0.0004551546326917, 0, 0}","{-0.0207165739660756, 0.0006105337229237, 0, 0}","{-0.0207165739660756, 0.0008189555813651, 0, 0}","{-0.0207165739660756, 0.0010985277619675, 0, 0}","{-0.0207165739660756, 0.0014735393118657, 0, 0}","{-0.0207165739660756, 0.0019765709878144, 0, 0}","{-0.0207165739660756, 0.0026513258509018, 0, 0}","{-0.0207165739660756, 0.003556426159747, 0, 2.853747890606689*^-9}","{-0.0207165739660756, 0.0047705064337644, 0, 7.039157412072115*^-6}","{-0.0207165739660756, 0.0063990451684807, 0, 0.0006030202498637247}","{-0.0207165739660756, 0.0085835287378376, 0, 0.007899489746400756}","{-0.0207165739660756, 0.0115137436372836, 0, 0.03598633968190008}","{-0.0207165739660756, 0.0154442650096474, 0, 0.08989912360196471}","{-0.0207165739660756, 0.0207165739660756, 0, 0.15865525393146246}","{-0.0207165739660756, 0.0277887252403267, 0, 0.2279838933360029}","{-0.0207165739660756, 0.0372751426827093, 0, 0.28918250824542724}","{-0.0207165739660756, 0.05, 0, 0.33931568141017227}"
"{-0.0154442650096474, 0.00001, 0, 0}","{-0.0154442650096474, 0.000013413764885, 0, 0}","{-0.0154442650096474, 0.000017992908839, 0, 0}","{-0.0154442650096474, 0.0000241352648763, 0, 0}","{-0.0154442650096474, 0.0000323744768487, 0, 0}","{-0.0154442650096474, 0.0000434263620723, 0, 0}","{-0.0154442650096474, 0.0000582511010648, 0, 0}","{-0.0154442650096474, 0.0000781366573974, 0, 0}","{-0.0154442650096474, 0.0001048106751227, 0, 0}","{-0.0154442650096474, 0.0001405905753532, 0, 0}","{-0.0154442650096474, 0.0001885848922832, 0, 0}","{-0.0154442650096474, 0.0002529633405947, 0, 0}","{-0.0154442650096474, 0.0003393190775256, 0, 0}","{-0.0154442650096474, 0.0004551546326917, 0, 0}","{-0.0154442650096474, 0.0006105337229237, 0, 0}","{-0.0154442650096474, 0.0008189555813651, 0, 0}","{-0.0154442650096474, 0.0010985277619675, 0, 0}","{-0.0154442650096474, 0.0014735393118657, 0, 0}","{-0.0154442650096474, 0.0019765709878144, 0, 0}","{-0.0154442650096474, 0.0026513258509018, 0, 2.853747890607067*^-9}","{-0.0154442650096474, 0.003556426159747, 0, 7.039157412071345*^-6}","{-0.0154442650096474, 0.0047705064337644, 0, 0.0006030202498637251}","{-0.0154442650096474, 0.0063990451684807, 0, 0.007899489746401134}","{-0.0154442650096474, 0.0085835287378376, 0, 0.035986339681899016}","{-0.0154442650096474, 0.0115137436372836, 0, 0.08989912360196381}","{-0.0154442650096474, 0.0154442650096474, 0, 0.15865525393146246}","{-0.0154442650096474, 0.0207165739660756, 0, 0.22798389333600189}","{-0.0154442650096474, 0.0277887252403267, 0, 0.2891825082454267}","{-0.0154442650096474, 0.0372751426827093, 0, 0.3393156814101721}","{-0.0154442650096474, 0.05, 0, 0.37870438957298175}"
"{-0.0115137436372836, 0.00001, 0, 0}","{-0.0115137436372836, 0.000013413764885, 0, 0}","{-0.0115137436372836, 0.000017992908839, 0, 0}","{-0.0115137436372836, 0.0000241352648763, 0, 0}","{-0.0115137436372836, 0.0000323744768487, 0, 0}","{-0.0115137436372836, 0.0000434263620723, 0, 0}","{-0.0115137436372836, 0.0000582511010648, 0, 0}","{-0.0115137436372836, 0.0000781366573974, 0, 0}","{-0.0115137436372836, 0.0001048106751227, 0, 0}","{-0.0115137436372836, 0.0001405905753532, 0, 0}","{-0.0115137436372836, 0.0001885848922832, 0, 0}","{-0.0115137436372836, 0.0002529633405947, 0, 0}","{-0.0115137436372836, 0.0003393190775256, 0, 0}","{-0.0115137436372836, 0.0004551546326917, 0, 0}","{-0.0115137436372836, 0.0006105337229237, 0, 0}","{-0.0115137436372836, 0.0008189555813651, 0, 0}","{-0.0115137436372836, 0.0010985277619675, 0, 0}","{-0.0115137436372836, 0.0014735393118657, 0, 0}","{-0.0115137436372836, 0.0019765709878144, 0, 2.853747890607089*^-9}","{-0.0115137436372836, 0.0026513258509018, 0, 7.03915741207243*^-6}","{-0.0115137436372836, 0.003556426159747, 0, 0.0006030202498637151}","{-0.0115137436372836, 0.0047705064337644, 0, 0.00789948974640135}","{-0.0115137436372836, 0.0063990451684807, 0, 0.035986339681900646}","{-0.0115137436372836, 0.0085835287378376, 0, 0.08989912360196305}","{-0.0115137436372836, 0.0115137436372836, 0, 0.15865525393146246}","{-0.0115137436372836, 0.0154442650096474, 0, 0.22798389333600289}","{-0.0115137436372836, 0.0207165739660756, 0, 0.28918250824542663}","{-0.0115137436372836, 0.0277887252403267, 0, 0.33931568141017227}","{-0.0115137436372836, 0.0372751426827093, 0, 0.3787043895729822}","{-0.0115137436372836, 0.05, 0, 0.408939092316054}"
"{-0.0085835287378376, 0.00001, 0, 0}","{-0.0085835287378376, 0.000013413764885, 0, 0}","{-0.0085835287378376, 0.000017992908839, 0, 0}","{-0.0085835287378376, 0.0000241352648763, 0, 0}","{-0.0085835287378376, 0.0000323744768487, 0, 0}","{-0.0085835287378376, 0.0000434263620723, 0, 0}","{-0.0085835287378376, 0.0000582511010648, 0, 0}","{-0.0085835287378376, 0.0000781366573974, 0, 0}","{-0.0085835287378376, 0.0001048106751227, 0, 0}","{-0.0085835287378376, 0.0001405905753532, 0, 0}","{-0.0085835287378376, 0.0001885848922832, 0, 0}","{-0.0085835287378376, 0.0002529633405947, 0, 0}","{-0.0085835287378376, 0.0003393190775256, 0, 0}","{-0.0085835287378376, 0.0004551546326917, 0, 0}","{-0.0085835287378376, 0.0006105337229237, 0, 0}","{-0.0085835287378376, 0.0008189555813651, 0, 0}","{-0.0085835287378376, 0.0010985277619675, 0, 0}","{-0.0085835287378376, 0.0014735393118657, 0, 2.853747890607099*^-9}","{-0.0085835287378376, 0.0019765709878144, 0, 7.039157412072939*^-6}","{-0.0085835287378376, 0.0026513258509018, 0, 0.0006030202498637915}","{-0.0085835287378376, 0.003556426159747, 0, 0.007899489746401448}","{-0.0085835287378376, 0.0047705064337644, 0, 0.0359863396819017}","{-0.0085835287378376, 0.0063990451684807, 0, 0.0898991236019663}","{-0.0085835287378376, 0.0085835287378376, 0, 0.1586552539314625}","{-0.0085835287378376, 0.0115137436372836, 0, 0.2279838933360036}","{-0.0085835287378376, 0.0154442650096474, 0, 0.28918250824542807}","{-0.0085835287378376, 0.0207165739660756, 0, 0.3393156814101726}","{-0.0085835287378376, 0.0277887252403267, 0, 0.37870438957298275}","{-0.0085835287378376, 0.0372751426827093, 0, 0.40893909231605463}","{-0.0085835287378376, 0.05, 0, 0.431848260141177}"
"{-0.0063990451684807, 0.00001, 0, 0}","{-0.0063990451684807, 0.000013413764885, 0, 0}","{-0.0063990451684807, 0.000017992908839, 0, 0}","{-0.0063990451684807, 0.0000241352648763, 0, 0}","{-0.0063990451684807, 0.0000323744768487, 0, 0}","{-0.0063990451684807, 0.0000434263620723, 0, 0}","{-0.0063990451684807, 0.0000582511010648, 0, 0}","{-0.0063990451684807, 0.0000781366573974, 0, 0}","{-0.0063990451684807, 0.0001048106751227, 0, 0}","{-0.0063990451684807, 0.0001405905753532, 0, 0}","{-0.0063990451684807, 0.0001885848922832, 0, 0}","{-0.0063990451684807, 0.0002529633405947, 0, 0}","{-0.0063990451684807, 0.0003393190775256, 0, 0}","{-0.0063990451684807, 0.0004551546326917, 0, 0}","{-0.0063990451684807, 0.0006105337229237, 0, 0}","{-0.0063990451684807, 0.0008189555813651, 0, 0}","{-0.0063990451684807, 0.0010985277619675, 0, 2.8537478906057844*^-9}","{-0.0063990451684807, 0.0014735393118657, 0, 7.039157412070918*^-6}","{-0.0063990451684807, 0.0019765709878144, 0, 0.0006030202498637161}","{-0.0063990451684807, 0.0026513258509018, 0, 0.007899489746401266}","{-0.0063990451684807, 0.003556426159747, 0, 0.03598633968189988}","{-0.0063990451684807, 0.0047705064337644, 0, 0.08989912360196471}","{-0.0063990451684807, 0.0063990451684807, 0, 0.1586552539314625}","{-0.0063990451684807, 0.0085835287378376, 0, 0.22798389333600028}","{-0.0063990451684807, 0.0115137436372836, 0, 0.2891825082454259}","{-0.0063990451684807, 0.0154442650096474, 0, 0.33931568141017154}","{-0.0063990451684807, 0.0207165739660756, 0, 0.37870438957298125}","{-0.0063990451684807, 0.0277887252403267, 0, 0.4089390923160537}","{-0.0063990451684807, 0.0372751426827093, 0, 0.43184826014117644}","{-0.0063990451684807, 0.05, 0, 0.44908204282773195}"
"{-0.0047705064337644, 0.00001, 0, 0}","{-0.0047705064337644, 0.000013413764885, 0, 0}","{-0.0047705064337644, 0.000017992908839, 0, 0}","{-0.0047705064337644, 0.0000241352648763, 0, 0}","{-0.0047705064337644, 0.0000323744768487, 0, 0}","{-0.0047705064337644, 0.0000434263620723, 0, 0}","{-0.0047705064337644, 0.0000582511010648, 0, 0}","{-0.0047705064337644, 0.0000781366573974, 0, 0}","{-0.0047705064337644, 0.0001048106751227, 0, 0}","{-0.0047705064337644, 0.0001405905753532, 0, 0}","{-0.0047705064337644, 0.0001885848922832, 0, 0}","{-0.0047705064337644, 0.0002529633405947, 0, 0}","{-0.0047705064337644, 0.0003393190775256, 0, 0}","{-0.0047705064337644, 0.0004551546326917, 0, 0}","{-0.0047705064337644, 0.0006105337229237, 0, 0}","{-0.0047705064337644, 0.0008189555813651, 0, 2.8537478906035018*^-9}","{-0.0047705064337644, 0.0010985277619675, 0, 7.039157412070066*^-6}","{-0.0047705064337644, 0.0014735393118657, 0, 0.0006030202498636659}","{-0.0047705064337644, 0.0019765709878144, 0, 0.007899489746401063}","{-0.0047705064337644, 0.0026513258509018, 0, 0.03598633968190041}","{-0.0047705064337644, 0.003556426159747, 0, 0.08989912360196349}","{-0.0047705064337644, 0.0047705064337644, 0, 0.1586552539314625}","{-0.0047705064337644, 0.0063990451684807, 0, 0.22798389333600194}","{-0.0047705064337644, 0.0085835287378376, 0, 0.28918250824542446}","{-0.0047705064337644, 0.0115137436372836, 0, 0.339315681410171}","{-0.0047705064337644, 0.0154442650096474, 0, 0.3787043895729813}","{-0.0047705064337644, 0.0207165739660756, 0, 0.4089390923160533}","{-0.0047705064337644, 0.0277887252403267, 0, 0.4318482601411762}","{-0.0047705064337644, 0.0372751426827093, 0, 0.4490820428277319}","{-0.0047705064337644, 0.05, 0, 0.4619945356308292}"
"{-0.003556426159747, 0.00001, 0, 0}","{-0.003556426159747, 0.000013413764885, 0, 0}","{-0.003556426159747, 0.000017992908839, 0, 0}","{-0.003556426159747, 0.0000241352648763, 0, 0}","{-0.003556426159747, 0.0000323744768487, 0, 0}","{-0.003556426159747, 0.0000434263620723, 0, 0}","{-0.003556426159747, 0.0000582511010648, 0, 0}","{-0.003556426159747, 0.0000781366573974, 0, 0}","{-0.003556426159747, 0.0001048106751227, 0, 0}","{-0.003556426159747, 0.0001405905753532, 0, 0}","{-0.003556426159747, 0.0001885848922832, 0, 0}","{-0.003556426159747, 0.0002529633405947, 0, 0}","{-0.003556426159747, 0.0003393190775256, 0, 0}","{-0.003556426159747, 0.0004551546326917, 0, 0}","{-0.003556426159747, 0.0006105337229237, 0, 2.8537478906030865*^-9}","{-0.003556426159747, 0.0008189555813651, 0, 7.039157412067648*^-6}","{-0.003556426159747, 0.0010985277619675, 0, 0.0006030202498636624}","{-0.003556426159747, 0.0014735393118657, 0, 0.00789948974640097}","{-0.003556426159747, 0.0019765709878144, 0, 0.035986339681900646}","{-0.003556426159747, 0.0026513258509018, 0, 0.08989912360196553}","{-0.003556426159747, 0.003556426159747, 0, 0.15865525393146246}","{-0.003556426159747, 0.0047705064337644, 0, 0.22798389333600313}","{-0.003556426159747, 0.0063990451684807, 0, 0.2891825082454269}","{-0.003556426159747, 0.0085835287378376, 0, 0.3393156814101707}","{-0.003556426159747, 0.0115137436372836, 0, 0.3787043895729814}","{-0.003556426159747, 0.0154442650096474, 0, 0.4089390923160538}","{-0.003556426159747, 0.0207165739660756, 0, 0.43184826014117633}","{-0.003556426159747, 0.0277887252403267, 0, 0.449082042827732}","{-0.003556426159747, 0.0372751426827093, 0, 0.4619945356308294}","{-0.003556426159747, 0.05, 0, 0.47164773371480306}"
